Paper_ID,Year,Title,Authors,Algorithm_Type,Quantum_Framework,Application_Domain,Repository_URL,DOI,arXiv_URL,arXiv_Categories
47,2023,Quantum Convolutional Neural Networks for Multi-Channel Supervised Learning,"Smaldone, Anthony M.; Kyro, Gregory W.; Batista, Victor S.",Quantum Convolutional Neural Networks (QCNN),Custom Implementation,,https://github.com/anthonysmaldone/QCNN-Multi-Channel-Supervised-Learning,10.1007/s42484-023-00130-3,http://arxiv.org/abs/2305.18961,Quantum Physics; Statistics - Machine Learning
48,2022,Software Supply Chain Vulnerabilities Detection in Source Code: Performance Comparison between Traditional and Quantum Machine Learning Algorithms,"Akter, Mst Shapna; Faruk, Md Jobair Hossain; Anjum, Nafisa; Masum, Mohammad; Shahriar, Hossain; Sakib, Nazmus; Rahman, Akond; Wu, Fan; Cuzzocrea, Alfredo",Quantum Neural Networks (QNN) vs. Classical NN,Custom Implementation,,https://github.com/jannatulshapna/QML-Software-Supply-Chain,10.1109/BigData55660.2022.10020813,https://ieeexplore.ieee.org/document/10020813/,
49,2023,Application-Oriented Benchmarking of Quantum Generative Learning Using QUARK,"Kiwit, Florian J.; Marso, Marwa; Ross, Philipp; Riofrío, Carlos A.; Klepsch, Johannes; Luckow, Andre",Benchmarking Framework (Classical-Quantum),Custom Implementation,,https://github.com/quark-framework/quark,10.1109/QCE57702.2023.00061,http://arxiv.org/abs/2308.04082,"Computer Science - Machine Learning; Quantum Physics; Computer Science - Distributed, Parallel, and Cluster Computing"
50,2023,Sub-universal variational circuits for combinatorial optimization problems,"Weitz, Gal; Pira, Lirandë; Ferrie, Chris; Combes, Joshua",Variational Quantum Algorithm (Hybrid),Custom Implementation,,https://github.com/lirandepira/paoa-simulations,10.1103/v1sh-fg6f,http://arxiv.org/abs/2308.14981,Computer Science - Machine Learning; Quantum Physics
51,2023,Learning Quantum Processes with Quantum Statistical Queries,"Wadhwa, Chirag; Doosti, Mina",Quantum Learning (Hybrid),PennyLane,,https://github.com/chirag-w/qpsq-learning,10.22331/q-2025-05-12-1739,http://arxiv.org/abs/2310.02075,Computer Science - Machine Learning; Quantum Physics; Computer Science - Computational Complexity
52,2024,Enhancing variational quantum state diagonalization using reinforcement learning techniques,"Kundu, Akash; Bedełek, Przemysław; Ostaszewski, Mateusz; Danaci, Onur; Patel, Yash J.; Dunjko, Vedran; Miszczak, Jarosław A.","Variational Quantum Algorithm (Hybrid, RL-enhanced VQC)",Custom Implementation,,https://github.com/iitis/RL_for_VQSD_ansatz_optimization,10.1088/1367-2630/ad1b7f,http://arxiv.org/abs/2306.11086,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics
53,2024,Understanding quantum machine learning also requires rethinking generalization,"Gil-Fuster, Elies; Eisert, Jens; Bravo-Prieto, Carlos",Theoretical Analysis (Simulation-based QNN),Custom Implementation,,https://github.com/bpcarlos/understanding_qml_rethinking_gen,10.1038/s41467-024-45882-z,http://arxiv.org/abs/2306.13461,Computer Science - Machine Learning; Quantum Physics; Statistics - Machine Learning; Condensed Matter - Quantum Gases
54,2024,Quantum Convolutional Neural Networks with Interaction Layers for Classification of Classical Data,"Mahmud, Jishnu; Mashtura, Raisa; Fattah, Shaikh Anowarul; Saquib, Mohammad",Quantum Neural Network (Hybrid QCNN),Custom Implementation,,https://github.com/chacconed/Quantum-Convolutional-Neural-Networks-with-Interaction-Layers-for-Classification-of-Classical-Data,10.1007/s42484-024-00145-4,http://arxiv.org/abs/2307.11792,Computer Science - Machine Learning; Quantum Physics
55,2024,Generative Quantum Machine Learning via Denoising Diffusion Probabilistic Models,"Zhang, Bingzhi; Xu, Peng; Chen, Xiaohui; Zhuang, Quntao",Quantum Generative Model (Hybrid),TensorFlow Quantum,,https://github.com/francis-hsu/quantgenmdl,10.1103/PhysRevLett.132.100602,http://arxiv.org/abs/2310.05866,Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Quantum Physics
56,2024,general learning scheme for classical and quantum Ising machines,"Schmid, Ludwig; Zardini, Enrico; Pastorello, Davide",Quantum Optimization Model (Hybrid),Custom Implementation,,https://github.com/lsschmid/ising-learning-model,10.21468/SciPostPhysCore.7.1.013,http://arxiv.org/abs/2310.18411,Computer Science - Machine Learning; Quantum Physics
